"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"60000","All nationalities","2017001111","Nov. 2017","00000","Japan","203,035","102,182","100,853","138,790","76,274","62,516","138,790","76,274","62,516","0","0","0"
"60000","All nationalities","2017001111","Nov. 2017","01000","Hokkaido","12,046","5,821","6,225","2,560","1,454","1,106","2,645","1,446","1,199","-85","8","-93"
"60000","All nationalities","2017001111","Nov. 2017","02000","Aomori-ken","952","425","527","868","526","342","966","530","436","-98","-4","-94"
"60000","All nationalities","2017001111","Nov. 2017","03000","Iwate-ken","1,069","474","595","925","522","403","975","484","491","-50","38","-88"
"60000","All nationalities","2017001111","Nov. 2017","04000","Miyagi-ken","4,140","2,000","2,140","2,127","1,211","916","2,086","1,220","866","41","-9","50"
"60000","All nationalities","2017001111","Nov. 2017","05000","Akita-ken","549","253","296","522","299","223","694","368","326","-172","-69","-103"
"60000","All nationalities","2017001111","Nov. 2017","06000","Yamagata-ken","881","412","469","612","344","268","673","356","317","-61","-12","-49"
"60000","All nationalities","2017001111","Nov. 2017","07000","Fukushima-ken","1,679","783","896","1,399","866","533","1,620","965","655","-221","-99","-122"
"60000","All nationalities","2017001111","Nov. 2017","08000","Ibaraki-ken","3,460","1,803","1,657","3,152","1,823","1,329","3,432","1,980","1,452","-280","-157","-123"
"60000","All nationalities","2017001111","Nov. 2017","09000","Tochigi-ken","1,826","952","874","2,033","1,196","837","2,309","1,368","941","-276","-172","-104"
"60000","All nationalities","2017001111","Nov. 2017","10000","Gumma-ken","2,027","1,066","961","2,062","1,235","827","2,006","1,197","809","56","38","18"
"60000","All nationalities","2017001111","Nov. 2017","11000","Saitama-ken","11,332","5,784","5,548","11,657","6,473","5,184","10,591","5,796","4,795","1,066","677","389"
"60000","All nationalities","2017001111","Nov. 2017","12000","Chiba-ken","9,314","4,835","4,479","9,623","5,233","4,390","9,388","5,362","4,026","235","-129","364"
"60000","All nationalities","2017001111","Nov. 2017","13000","Tokyo-to","35,710","18,283","17,427","25,461","13,233","12,228","24,526","13,120","11,406","935","113","822"
"60000","All nationalities","2017001111","Nov. 2017","14000","Kanagawa-ken","16,819","8,604","8,215","13,197","7,128","6,069","12,704","6,980","5,724","493","148","345"
"60000","All nationalities","2017001111","Nov. 2017","15000","Niigata-ken","2,530","1,186","1,344","1,205","710","495","1,239","694","545","-34","16","-50"
"60000","All nationalities","2017001111","Nov. 2017","16000","Toyama-ken","914","427","487","772","485","287","759","432","327","13","53","-40"
"60000","All nationalities","2017001111","Nov. 2017","17000","Ishikawa-ken","1,086","541","545","1,030","609","421","929","542","387","101","67","34"
"60000","All nationalities","2017001111","Nov. 2017","18000","Fukui-ken","678","315","363","576","334","242","623","348","275","-47","-14","-33"
"60000","All nationalities","2017001111","Nov. 2017","19000","Yamanashi-ken","1,141","555","586","863","464","399","798","458","340","65","6","59"
"60000","All nationalities","2017001111","Nov. 2017","20000","Nagano-ken","2,374","1,142","1,232","1,640","914","726","1,648","906","742","-8","8","-16"
"60000","All nationalities","2017001111","Nov. 2017","21000","Gifu-ken","2,118","1,041","1,077","1,783","1,012","771","2,236","1,163","1,073","-453","-151","-302"
"60000","All nationalities","2017001111","Nov. 2017","22000","Shizuoka-ken","5,305","2,726","2,579","3,223","1,863","1,360","3,150","1,817","1,333","73","46","27"
"60000","All nationalities","2017001111","Nov. 2017","23000","Aichi-ken","15,395","8,229","7,166","6,696","3,861","2,835","6,688","4,048","2,640","8","-187","195"
"60000","All nationalities","2017001111","Nov. 2017","24000","Mie-ken","1,707","887","820","2,265","1,384","881","1,805","964","841","460","420","40"
"60000","All nationalities","2017001111","Nov. 2017","25000","Shiga-ken","1,585","815","770","1,676","953","723","1,577","900","677","99","53","46"
"60000","All nationalities","2017001111","Nov. 2017","26000","Kyoto-fu","3,701","1,867","1,834","2,980","1,558","1,422","3,159","1,613","1,546","-179","-55","-124"
"60000","All nationalities","2017001111","Nov. 2017","27000","Osaka-fu","17,999","9,127","8,872","9,284","4,880","4,404","9,465","5,064","4,401","-181","-184","3"
"60000","All nationalities","2017001111","Nov. 2017","28000","Hyogo-ken","8,152","3,984","4,168","5,124","2,700","2,424","5,475","2,842","2,633","-351","-142","-209"
"60000","All nationalities","2017001111","Nov. 2017","29000","Nara-ken","1,246","618","628","1,471","729","742","1,544","751","793","-73","-22","-51"
"60000","All nationalities","2017001111","Nov. 2017","30000","Wakayama-ken","725","324","401","598","331","267","725","368","357","-127","-37","-90"
"60000","All nationalities","2017001111","Nov. 2017","31000","Tottori-ken","420","193","227","422","248","174","475","263","212","-53","-15","-38"
"60000","All nationalities","2017001111","Nov. 2017","32000","Shimane-ken","345","175","170","552","305","247","587","328","259","-35","-23","-12"
"60000","All nationalities","2017001111","Nov. 2017","33000","Okayama-ken","2,611","1,233","1,378","1,503","861","642","1,774","932","842","-271","-71","-200"
"60000","All nationalities","2017001111","Nov. 2017","34000","Hiroshima-ken","4,255","2,158","2,097","2,155","1,240","915","2,803","1,635","1,168","-648","-395","-253"
"60000","All nationalities","2017001111","Nov. 2017","35000","Yamaguchi-ken","1,055","524","531","1,088","628","460","1,099","615","484","-11","13","-24"
"60000","All nationalities","2017001111","Nov. 2017","36000","Tokushima-ken","788","377","411","455","230","225","589","309","280","-134","-79","-55"
"60000","All nationalities","2017001111","Nov. 2017","37000","Kagawa-ken","838","409","429","805","428","377","880","500","380","-75","-72","-3"
"60000","All nationalities","2017001111","Nov. 2017","38000","Ehime-ken","1,042","495","547","865","490","375","918","522","396","-53","-32","-21"
"60000","All nationalities","2017001111","Nov. 2017","39000","Kochi-ken","616","281","335","525","282","243","478","257","221","47","25","22"
"60000","All nationalities","2017001111","Nov. 2017","40000","Fukuoka-ken","11,669","5,803","5,866","5,068","2,825","2,243","4,834","2,656","2,178","234","169","65"
"60000","All nationalities","2017001111","Nov. 2017","41000","Saga-ken","726","338","388","802","415","387","960","493","467","-158","-78","-80"
"60000","All nationalities","2017001111","Nov. 2017","42000","Nagasaki-ken","976","488","488","1,074","632","442","1,217","657","560","-143","-25","-118"
"60000","All nationalities","2017001111","Nov. 2017","43000","Kumamoto-ken","2,943","1,423","1,520","1,477","803","674","1,406","714","692","71","89","-18"
"60000","All nationalities","2017001111","Nov. 2017","44000","Oita-ken","915","439","476","941","543","398","973","523","450","-32","20","-52"
"60000","All nationalities","2017001111","Nov. 2017","45000","Miyazaki-ken","824","409","415","861","474","387","920","500","420","-59","-26","-33"
"60000","All nationalities","2017001111","Nov. 2017","46000","Kagoshima-ken","1,570","720","850","1,379","746","633","1,239","633","606","140","113","27"
"60000","All nationalities","2017001111","Nov. 2017","47000","Okinawa-ken","2,982","1,438","1,544","1,434","794","640","1,203","655","548","231","139","92"
"60000","All nationalities","2017001111","Nov. 2017","48000","Tokyo-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2017001111","Nov. 2017","49000","Nagoya-Area","***","***","***","***","***","***","***","***","***","***","***","***"
"60000","All nationalities","2017001111","Nov. 2017","50000","Osaka-Area","***","***","***","***","***","***","***","***","***","***","***","***"
