"Nationality Code","Nationality","Time Code","Time","Area Code","Area","Both sexes Intra Prefectural","Male Intra Prefectural","Female Intra Prefectural","Both sexes enter the prefecture","Male enter the prefecture","Female enter the prefecture","Both sexes left the prefecture","Male left the prefecture","Female left the prefecture","Both sexes Net Migrations","Male Net Migrations","Female Net Migrations"
"61000","Japanese","2018000202","Feb. 2018","29000","Nara-ken","1,365","711","654","1,497","758","739","2,099","1,043","1,056","-602","-285","-317"
"61000","Japanese","2018000202","Feb. 2018","30000","Wakayama-ken","706","344","362","706","387","319","832","433","399","-126","-46","-80"
"61000","Japanese","2018000202","Feb. 2018","31000","Tottori-ken","366","179","187","449","247","202","510","266","244","-61","-19","-42"
"61000","Japanese","2018000202","Feb. 2018","32000","Shimane-ken","364","206","158","589","318","271","559","329","230","30","-11","41"
"61000","Japanese","2018000202","Feb. 2018","33000","Okayama-ken","2,505","1,233","1,272","1,541","840","701","1,732","918","814","-191","-78","-113"
"61000","Japanese","2018000202","Feb. 2018","34000","Hiroshima-ken","4,160","2,178","1,982","2,536","1,448","1,088","2,574","1,414","1,160","-38","34","-72"
"61000","Japanese","2018000202","Feb. 2018","35000","Yamaguchi-ken","1,195","596","599","1,179","675","504","1,383","734","649","-204","-59","-145"
"61000","Japanese","2018000202","Feb. 2018","36000","Tokushima-ken","778","377","401","596","357","239","564","299","265","32","58","-26"
"61000","Japanese","2018000202","Feb. 2018","37000","Kagawa-ken","871","451","420","892","486","406","1,010","541","469","-118","-55","-63"
"61000","Japanese","2018000202","Feb. 2018","38000","Ehime-ken","1,159","617","542","984","590","394","1,235","683","552","-251","-93","-158"
"61000","Japanese","2018000202","Feb. 2018","39000","Kochi-ken","725","360","365","480","247","233","527","290","237","-47","-43","-4"
"61000","Japanese","2018000202","Feb. 2018","40000","Fukuoka-ken","11,103","5,551","5,552","5,513","2,897","2,616","4,937","2,653","2,284","576","244","332"
"61000","Japanese","2018000202","Feb. 2018","41000","Saga-ken","669","315","354","965","531","434","944","472","472","21","59","-38"
"61000","Japanese","2018000202","Feb. 2018","42000","Nagasaki-ken","1,071","539","532","1,063","625","438","1,362","711","651","-299","-86","-213"
"61000","Japanese","2018000202","Feb. 2018","43000","Kumamoto-ken","2,737","1,337","1,400","1,439","832","607","1,496","767","729","-57","65","-122"
"61000","Japanese","2018000202","Feb. 2018","44000","Oita-ken","939","471","468","952","536","416","1,110","570","540","-158","-34","-124"
"61000","Japanese","2018000202","Feb. 2018","45000","Miyazaki-ken","932","502","430","953","523","430","972","532","440","-19","-9","-10"
"61000","Japanese","2018000202","Feb. 2018","46000","Kagoshima-ken","1,822","899","923","1,392","779","613","1,338","688","650","54","91","-37"
"61000","Japanese","2018000202","Feb. 2018","47000","Okinawa-ken","2,808","1,363","1,445","1,428","758","670","1,159","607","552","269","151","118"
"61000","Japanese","2018000202","Feb. 2018","48000","Tokyo-Area","102,864","53,416","49,448","26,107","13,748","12,359","20,513","11,586","8,927","5,594","2,162","3,432"
"61000","Japanese","2018000202","Feb. 2018","49000","Nagoya-Area","20,753","10,973","9,780","6,645","3,919","2,726","6,929","4,027","2,902","-284","-108","-176"
"61000","Japanese","2018000202","Feb. 2018","50000","Osaka-Area","37,499","18,826","18,673","10,942","5,855","5,087","11,765","6,407","5,358","-823","-552","-271"
"61000","Japanese","2018000202","Feb. 2018","00416","Total of 21 major cities","58,220","29,339","28,881","82,493","42,961","39,532","77,570","41,232","36,338","4,923","1,729","3,194"
"61000","Japanese","2018000202","Feb. 2018","01100","Sapporo-shi","3,959","1,883","2,076","3,124","1,612","1,512","2,754","1,459","1,295","370","153","217"
"61000","Japanese","2018000202","Feb. 2018","04100","Sendai-shi","1,599","768","831","2,200","1,160","1,040","2,131","1,176","955","69","-16","85"
"61000","Japanese","2018000202","Feb. 2018","11100","Saitama-shi","1,483","745","738","3,618","1,865","1,753","3,139","1,679","1,460","479","186","293"
"61000","Japanese","2018000202","Feb. 2018","12100","Chiba-shi","945","522","423","2,411","1,323","1,088","2,350","1,288","1,062","61","35","26"
"61000","Japanese","2018000202","Feb. 2018","13100","Ku-area of Tokyo","19,399","9,962","9,437","24,546","12,594","11,952","21,600","11,372","10,228","2,946","1,222","1,724"
"61000","Japanese","2018000202","Feb. 2018","14100","Yokohama-shi","5,271","2,663","2,608","7,697","4,110","3,587","8,026","4,255","3,771","-329","-145","-184"
"61000","Japanese","2018000202","Feb. 2018","14130","Kawasaki-shi","1,340","733","607","5,425","2,844","2,581","5,116","2,775","2,341","309","69","240"
"61000","Japanese","2018000202","Feb. 2018","14150","Sagamihara-shi","422","211","211","1,872","970","902","1,661","866","795","211","104","107"
"61000","Japanese","2018000202","Feb. 2018","15100","Niigata-shi","802","412","390","812","449","363","935","500","435","-123","-51","-72"
